id,nombre,compania,compania_nombre,director,dramaturgo,anio_estreno,genero,publico,duracion,comunas,espacios,espacios_nombre,festivales,festivales_nombre,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
OBR-0011,Piratas del Barrio,COMP-0022,Compañía La Barconeta,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres (marionetas de hilos),NO ENCONTRADO,NO ENCONTRADO,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Función a bordo de una lancha en Valparaíso.,FUE-0018,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0022.
OBR-0012,El Despertar de los Antiguos,COMP-0022,Compañía La Barconeta,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres (marionetas de hilos),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Puesta en escena basada en relatos de terror.,FUE-0018,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0022.
OBR-0013,Nog Bua,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0020,Sala Pascal 79,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Programada en Sala Pascal 79 entre octubre de 2020 y marzo de 2021 (Red de Espacios Culturales). Compañía no indicada.
OBR-0014,La mala conexión,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,villa-alemana,ESP-0022,Centro Cultural Gabriela Mistral,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Programada en el Centro Cultural Gabriela Mistral entre octubre de 2020 y marzo de 2021. Compañía no indicada.
OBR-0015,Mentira,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0018,Sala de Artes Escénicas Universidad de Playa Ancha,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,La nota dice 'la obra Mentira de Miguel Muñoz' (autoría o dirección no especificada). Programada en la Sala UPLA entre octubre de 2020 y marzo de 2021.
OBR-0016,Llay Llay su gente y su cultura,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,llaillay,ESP-0014,Teatro Municipal de Llay Llay,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Programada en el Teatro Municipal de Llay Llay entre octubre de 2020 y marzo de 2021. Compañía no indicada.
OBR-0017,Error,COMP-0013,Centro de Investigación Teatro La Peste,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0051,Mikroespacio,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0131,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0013.
OBR-0018,Repertorio para habitar la soledad,COMP-0039,Cooperativa de Artes Escénicas de Valparaíso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0052,Espacio Catarsis,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0131,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0039.
OBR-0019,Hipodérmica,COMP-0040,Astillero Teatro,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0053,Centro Cultural IPA,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0131,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0040.
OBR-0020,Anku,COMP-0041,Teatro ILUcIÓN,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0054,Centex — Centro de Extensión del Ministerio de las Culturas,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0131 | FUE-0133,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0041.
OBR-0021,Cuestión de Ubicación,COMP-0041,Teatro ILUcIÓN,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0053,Centro Cultural IPA,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131 | FUE-0133,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0041.
OBR-0022,Amada Gayshá,COMP-0042,Teatro Desastre,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0025,Carpa Azul Circo,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0131,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0042.
OBR-0023,Fofi el cachorro,COMP-0043,La Bayka,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0033,Centro Comunitario Las Cañas,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0131,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0043.
OBR-0024,Disparate Circo Rock,COMP-0044,Disparate Circo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0055,CECO de Rodelillo,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0131 | FUE-0096 | FUE-0124 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0044.
OBR-0025,Extraño ser,COMP-0045,Teatro del Instinto,George Casanova,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0056,Cancha Población Márquez,FES-0021,Ciudad Teatro,NO ENCONTRADO,FUE-0131,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0045.
OBR-0026,La Señorita Julia,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0018,Sala de Artes Escénicas Universidad de Playa Ancha,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0133,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0015.
OBR-0027,Ensamble Vocal Comunitario,COMP-0050,Colectivo interdisciplinario Musgo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0050.
OBR-0028,Hoguera,COMP-0073,Teatro La Washa,NO ENCONTRADO,NO ENCONTRADO,2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124 | FUE-0117 | FUE-0098 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0073.
OBR-0029,"Caudal, por la liberación de las aguas",COMP-0073,Teatro La Washa,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124 | FUE-0117 | FUE-0098 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0073.
OBR-0030,"La Llave Secreta, por la liberación de las aguas",COMP-0073,Teatro La Washa,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,infantil,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124 | FUE-0117 | FUE-0098 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0073.
OBR-0031,El Chungungo y la Voz del Mar,COMP-0073,Teatro La Washa,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124 | FUE-0117 | FUE-0098 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0073.
OBR-0032,Tripulación Paraíso,COMP-0044,Disparate Circo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0096 | FUE-0124 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0044.
OBR-0033,"La Nave de los locos, locOnas y Alacalufes",COMP-0075,Circo Ancestral,Andrés del Bosque,NO ENCONTRADO,NO ENCONTRADO,teatro circo ancestral,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0075.
OBR-0034,El tiempo no espera. Monólogos del adulto mayor,COMP-0076,Julieta y Compañía,Julieta Saavedra,Julieta Saavedra,2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,villa-alemana | quillota | quilpue | valparaiso,ESP-0022 | ESP-0064 | ESP-0003 | ESP-0060,Centro Cultural Gabriela Mistral | Valparaíso Profundo | Parque Cultural de Valparaíso | Teatro Municipal de Valparaíso,NO ENCONTRADO,NO ENCONTRADO,"Tres monólogos sobre el miedo a envejecer, la soledad y la fuerza de seguir adelante, surgidos del taller 'Cuentos que nacen del alma' con personas mayores de Villa Alemana. Elenco: Roberto Valencia (adulto mayor, debut actoral), Gabriela Fernández Chan (actriz y directora peruana), Sebastián Roque Tognia (música en vivo) y Julieta Saavedra. Financiada por el Fondo de Artes Escénicas 2025.",FUE-0098 | FUE-0171 | FUE-0172,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0076.
OBR-0035,FIN; último episodio Trilogía de la Catástrofe,COMP-0013,Centro de Investigación Teatro La Peste,Danilo Llanos,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0107 | FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0013.
OBR-0036,Enjuiciamiento a Pedro Urdemales,COMP-0058,Fundacion Puerto Cultura,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0107,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0058.
OBR-0037,La memoria de los sésiles,COMP-0040,Astillero Teatro,NO ENCONTRADO,NO ENCONTRADO,2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117 | FUE-0109,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0040.
OBR-0038,El fuego que llevamos dentro. Por la memoria de Nicole Saavedra Bahamondes,COMP-0080,Compañía Teatro a la Deriva,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0120 | FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0080.
OBR-0039,Polución: Diálogos con Pedro Lemebel,COMP-0081,Colectivo La Fuga,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0081.
OBR-0040,En Defensa Propia,COMP-0082,Compañía de Teatro Fuera de Lugar,NO ENCONTRADO,NO ENCONTRADO,2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0082.
OBR-0041,NOSOTRXS,COMP-0008,Fundación OANI de Teatro,NO ENCONTRADO,NO ENCONTRADO,2025,títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098 | FUE-0118 | FUE-0105 | FUE-0095 | FUE-0030,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,anio_estreno: '2025' vs '2026',Creado por referencia desde COMP-0008.
OBR-0042,Todo esto está en ti,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2023,circo contemporáneo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117 | FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Obra de circo contemporáneo inspirada en la poesía de Raúl Zurita (creación 2023, circulación nacional 2025), responsable Paula Andrea Jirkal Briones."
OBR-0043,"KI, la respiración del tiempo",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Circulación nacional 2025, responsable Natalia Francisca Cuéllar Díaz ($19.295.318)."
OBR-0044,La Invivible,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,danza,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0124 | FUE-0117 | FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Composición coreográfica (2022 y 2023, Josefina Díaz Honores) y creación danza 2025 (Franco Ignacio Oviedo Maldonado, $25.337.357). Listada por Fundación Teatro a Mil en su catálogo de la Región de Valparaíso."
OBR-0045,Más allá de las ruinas,NO ENCONTRADO,NO ENCONTRADO,Ingrid Flores Mondaca,NO ENCONTRADO,NO ENCONTRADO,circo (ciencia ficción),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'Más allá de las ruinas, un espectáculo de ciencia ficción dirigido por Ingrid Flores Moncada' (circo 2025, $29.996.405; y 2026, $29.999.999)."
OBR-0046,Pulso de un hombre homosexual latinoamericano,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0117 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Creación teatro 2023 ($19.398.215) y circulación nacional 2026, responsable José Antonio Soto Luer."
OBR-0047,La cuna de fuego: Montaje escénico por Palestina,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Teatro 2026, José Antonio Soto Luer ($28.799.944)."
OBR-0048,Bésame Macho. Mujeres Infinitas,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Puesta en escena, teatro 2026, Verónica Isabel González Becerra ($16.453.509)."
OBR-0049,NINA,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Teatro 2025, Maritza Alejandra Farías Cerpa ($29.690.100)."
OBR-0050,La Ventana de Eva,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,teatro de objetos,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Espectáculo de teatro objeto, títeres 2025, Camila Fernanda Pichuante Cruz ($19.289.236)."
OBR-0051,El Trueno de Milén,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,ópera de cámara,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Ópera de cámara por la inclusión de la neurodivergencia (2025, David Gabriel Valdivia Argandoña, $34.232.334)."
OBR-0052,Ardid de amor,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,ópera,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0098,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Comedia de enredos en el Chile colonial, ópera de Roberto Puelma (2025, Viviana Hernández Silva, $27.138.128)."
