id,nombre,alias,comuna,comuna_nombre,provincia,anio_creacion,periodicidad,organizacion,espacios,espacios_nombre,companias,companias_nombre,obras,obras_nombre,numero_versiones,fechas,web,instagram,facebook,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
FES-0011,Gira regional de teatro familiar,Gira regional de teatro familiar 2021,calle-larga,Calle Larga,los-andes,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0007 | COMP-0010 | COMP-0011,Festín de la Risa | La Enredadera | Ludus Teatro,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2021,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0027 | FUE-0028 | FUE-0034 | FUE-0035 | FUE-0036 | FUE-0037 | FUE-0038 | FUE-0039 | FUE-0040 | FUE-0041,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Creado por referencia desde COMP-0007. Creado por referencia desde COMP-0010. Comuna no resuelta: Centro Cultural de San Antonio. Comuna no resuelta: Teatro Municipal Juan Bustos Ramírez, Quilpué."
FES-0012,FESTILAMBE de Valparaíso,FESTILAMBE | Festival Internacional de Teatro Lambe Lambe de Chile,valparaiso,Valparaíso,valparaiso,2014,anual,Fundación OANI de Teatro,ESP-0088,Casa OANI,COMP-0008,Fundación OANI de Teatro,NO ENCONTRADO,NO ENCONTRADO,9,2026 | 2023 | 2024 | 2014 | 2015 | 2016 | 2017 | 2018 | 2020,https://www.festilambe.cl/,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0029 | FUE-0030 | FUE-0031 | FUE-0032 | FUE-0118 | FUE-0105 | FUE-0095 | FUE-0181,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,"periodicidad: 'anual' vs 'anual con interrupciones (sin ediciones 2019, 2021, 2022, 2025)'","Creado por referencia desde COMP-0008. Comuna no resuelta: Casa OANI, Valparaíso. 7° FESTILAMBE (Fondo AAEE 2023, $46.988.136), 8° (2024, $43.629.626), 9° 'Contagiando Humanidad' (2026, $55.000.000). Periodicidad anual deducida de la numeración; edición 2025 no confirmada. 9ª edición en 2026; contacto institucional contacto@festilambe.cl. OANI organiza además el Festival Itinerante de Teatro Lambe Lambe de Lo Barnechea (Región Metropolitana). Formato: 25 espectáculos nacionales e internacionales de teatro lambe lambe presentados simultáneamente en cajas-casitas para un espectador a la vez. Apoyos municipales y regionales; colaboran Parque Cultural de Valparaíso, Casa OANI y Teatro de Marionetas. Contacto: contacto@festilambe.cl."
FES-0013,Gira regional de teatro familiar 2021,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0010 | COMP-0011,La Enredadera | Ludus Teatro,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2021,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0034 | FUE-0035 | FUE-0036 | FUE-0037 | FUE-0038 | FUE-0039 | FUE-0040 | FUE-0041,DUPLICADO,2026-09-08,2026-09-08,FES-0011,NO ENCONTRADO,"Creado por referencia desde COMP-0010. Comuna no resuelta: Centro Cultural de San Antonio. Comuna no resuelta: Teatro Municipal Juan Bustos Ramírez, Quilpué."
FES-0014,Mujeres en Escena,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0010,La Enredadera,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0034 | FUE-0035 | FUE-0036 | FUE-0037 | FUE-0038,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Creado por referencia desde COMP-0010. Comuna no resuelta: La Calera, El Quisco y Quilpué."
FES-0015,Encuentro de Teatro Porteño Independiente,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0013,Centro de Investigación Teatro La Peste,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2004,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0044 | FUE-0045 | FUE-0046 | FUE-0047 | FUE-0048,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0013.
FES-0016,ENAI — Encuentro de Artes Escénicas para la Comunidad Sorda,ENAI | Encuentro de narración accesible e inclusiva,valparaiso,Valparaíso,valparaiso,2022,anual,Pablo Ignacio Abarca Carrazana (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,4,2025 | 2022 | 2023 | 2024 | 2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0091 | FUE-0125 | FUE-0118 | FUE-0105 | FUE-0099 | FUE-0095,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,numero_versiones: '4' vs '5',"Proyecto 'ENAI 2025: Cuarto Encuentro de Artes Escénicas para la Comunidad Sorda', seleccionado en el Fondo de Artes Escénicas 2025 (Región de Valparaíso). Comuna y organización responsable no indicadas en la nota. 2022: 'Primer Encuentro regional de narración inclusiva: contemos con otros sentidos'; 2023: 'Segundo Encuentro de narración accesible e inclusiva: ENAI 2023'; 2024: 'Tercer Encuentro… ENAI 2024 Valparaíso'; 2025: 'ENAI 2025 Cuarto Encuentro de Artes Escénicas para la Comunidad Sorda' ($47.627.139); 2026: 'ENAI 2026 Quinto Encuentro' ($49.845.799). Comuna según el título de 2024."
FES-0017,A Rienda Suelta — Festival Internacional de Artes Cómicas,A Rienda Suelta,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Katherine Ruth Cisternas Collao (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,4,2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0091 | FUE-0099,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Proyecto 'A Rienda Suelta: 4° Festival Internacional de Artes Cómicas', seleccionado en el Fondo de Artes Escénicas 2025 (Región de Valparaíso). Comuna y organización no indicadas en la nota. 4° festival (2025, $26.247.211). Katherine Cisternas figura en el elenco de Festín de la Risa (obra Ayayai) según data/works; la relación festival–compañía queda por confirmar."
FES-0018,EN PRÁCTICA — Festival de Danza Contacto Improvisación Valparaíso,EN PRACTICA,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,María Daniela Villanueva Tolosa (responsable de proyecto),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,4,2025 | 2023,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0091 | FUE-0118 | FUE-0099,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Festival de danza (contacto improvisación) seleccionado en el Fondo de Artes Escénicas 2025. III Encuentro (2023, $14.222.253); IV versión (2025, $23.385.924)."
FES-0019,"Festival de Artes Escénicas, Autocuidado y Salud Mental (Siento Teatro)",NO ENCONTRADO,vina-del-mar,Viña del Mar,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Siento Teatro,NO ENCONTRADO,NO ENCONTRADO,COMP-0021,Siento Teatro,NO ENCONTRADO,NO ENCONTRADO,1,2025 | 2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0091 | FUE-0099 | FUE-0095,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,numero_versiones: '1' vs '2',"Proyecto 'Siento Teatro: Primer Festival de Artes Escénicas, Autocuidado y Salud Mental', Fondo de Artes Escénicas 2025. Comuna tomada de la sede de Siento Teatro (Punto de Cultura en Viña del Mar); sede del festival por confirmar. Primer festival (2025, $29.999.983) y II Festival (2026, $29.629.536); responsable de ambos proyectos: Sara Camila Solís Peña."
FES-0020,Festival de Teatro Juan Edmundo González,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0024,Compañía Vaccaro Puppets,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2003 | 2005,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0018,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0024.
FES-0021,Ciudad Teatro,Ciudad Teatro — Mes del Teatro Valparaíso,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,"Centex — Ministerio de las Culturas, las Artes y el Patrimonio",ESP-0051 | ESP-0052 | ESP-0053 | ESP-0054 | ESP-0025 | ESP-0033 | ESP-0055 | ESP-0056 | ESP-0064 | ESP-0065 | ESP-0066 | ESP-0067 | ESP-0068 | ESP-0069 | ESP-0070,Mikroespacio | Espacio Catarsis | Centro Cultural IPA | Centex — Centro de Extensión del Ministerio de las Culturas | Carpa Azul Circo | Centro Comunitario Las Cañas | CECO de Rodelillo | Cancha Población Márquez | Valparaíso Profundo | Mercado Puerto | Liceo Pedro Montt | Espacio Comunitario Santa Ana | CEAC | Sala de Artes Escénicas Rodelillo | Casa Centro de Investigación Teatro La Peste,COMP-0013 | COMP-0039 | COMP-0040 | COMP-0041 | COMP-0042 | COMP-0043 | COMP-0044 | COMP-0045 | COMP-0091 | COMP-0092 | COMP-0054 | COMP-0093 | COMP-0073 | COMP-0094 | COMP-0095,Centro de Investigación Teatro La Peste | Cooperativa de Artes Escénicas de Valparaíso | Astillero Teatro | Teatro ILUcIÓN | Teatro Desastre | La Bayka | Disparate Circo | Teatro del Instinto | Colectivx Escénicx Urgente Delirio | MikroEspacio Creativo | Organización Comunitaria Artística Cultural y Deportiva La Coraje | Espacio Ané | Teatro La Washa | Colaboraciones en Distancia | Compañía En Paños Menores,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2025-05-05/2025-05-11 | 2026-05-08/2026-05-28,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131 | FUE-0132 | FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,"organizacion: 'Centex — Ministerio de las Culturas, las Artes y el Patrimonio' vs 'Sala Pascal 79'","Ciclo por el Mes del Teatro: ocho montajes en ocho espacios de Valparaíso, 5 al 11 de mayo de 2025. Colaboran Sala Pascal 79, Entretelones-Valpo y Pocket Documentaries según la nota. Edición 2026: 8 montajes en 20 días (8 al 28 de mayo) a precios populares, más una lectura dramatizada; organiza Sala Pascal 79 con financiamiento PAOCC. En 2025 la difusión la hizo Centex, que también fue sede; la organización 2025 queda por confirmar."
FES-0022,ENOI — Ópera con Identidad,ENOI,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2024 | 2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0105 | FUE-0099,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"'ENOI 2024 - Conecta con la ópera' (Irene Isola Yáñez Torres, $51.137.044) y 'ENOI 2025 - Ópera con Identidad' (Nicolás Eduardo Vásquez Muñoz, $54.818.257), Festivales y Encuentros Nacionales. Comuna no indicada."
