id,proyecto,organizacion,persona,fondo,linea,monto,anio,comuna,comuna_nombre,provincia,disciplina,descripcion,resultado,folio,compania,compania_nombre,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
FIN-0011,A Rienda Suelta: 4° Festival Internacional de Artes Cómicas,NO ENCONTRADO,Katherine Ruth Cisternas Collao,Fondo de Artes Escénicas,Festivales y encuentros regionales,26247211,2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,758678,NO ENCONTRADO,NO ENCONTRADO,FUE-0091 | FUE-0099,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Organización responsable, comuna y monto no indicados en la nota. Responsable según nómina: Katherine Ruth Cisternas Collao. Página 5 del PDF. Comuna no indicada en la nómina (solo región). Responsable según nómina: Katherine Ruth Cisternas Collao. Página 5 del PDF. Comuna no indicada en la nómina (solo región)."
FIN-0012,EN PRACTICA: Festival de Danza Contacto Improvisación Valparaíso,NO ENCONTRADO,NO ENCONTRADO,Fondo de Artes Escénicas,NO ENCONTRADO,NO ENCONTRADO,2025,valparaiso,Valparaíso,valparaiso,danza,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0091,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0013,"Siento Teatro: Primer Festival de Artes Escénicas, Autocuidado y Salud Mental",Siento Teatro,NO ENCONTRADO,Fondo de Artes Escénicas,NO ENCONTRADO,NO ENCONTRADO,2025,vina-del-mar,Viña del Mar,valparaiso,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,COMP-0021,Siento Teatro,FUE-0091,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Comuna tomada de la sede de Siento Teatro según Puntos de Cultura.
FIN-0014,2º ciclo de teatro en San Pedro de Putupur,NO ENCONTRADO,NO ENCONTRADO,Fondo de Artes Escénicas,NO ENCONTRADO,NO ENCONTRADO,2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,teatro,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0091,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Localidad San Pedro de Putupur; comuna por confirmar (no indicada en la nota). Organización responsable no indicada.
FIN-0015,El niño y los sortilegios (ópera),NO ENCONTRADO,Viviana Hernández,Fondos Cultura 2026 (línea no indicada en la nota),NO ENCONTRADO,32200044,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,ópera,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0092,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Comuna no indicada.
FIN-0016,Cuéntame de Valparaíso bohemio,NO ENCONTRADO,Zenith Navarrete,Fondos Cultura 2026 (línea no indicada en la nota),Narración Oral,14347713,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,812385,NO ENCONTRADO,NO ENCONTRADO,FUE-0092 | FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,persona: 'Zenith Navarrete' vs 'Zenith Claudia Navarrete Ruiz'; fondo: 'Fondos Cultura 2026 (línea no indicada en la nota)' vs 'Fondo de Artes Escénicas',Disciplina inferida del contexto de la nota (artes escénicas); por confirmar en la nómina oficial. Responsable según nómina: Zenith Claudia Navarrete Ruiz. Página 22 del PDF. Comuna no indicada en la nómina (solo región). Responsable según nómina: Zenith Claudia Navarrete Ruiz. Página 22 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0017,PAOCC 2020 — TeatroMuseo del Títere y el Payaso,Fundación TeatroMuseo del Títere y el Payaso,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,17922860,2020,valparaiso,Valparaíso,valparaiso,títeres,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0018,PAOCC 2020 — Sala Insomnia Teatro Condell,Sala Insomnia Teatro Condell,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,17959600,2020,valparaiso,Valparaíso,valparaiso,teatro,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0019,PAOCC 2020 — Carpa Azul Circo,Carpa Azul Circo,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,17659947,2020,valparaiso,Valparaíso,valparaiso,circo,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0020,PAOCC 2020 — Sala Pascal 79,Sala Pascal 79,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,18000000,2020,valparaiso,Valparaíso,valparaiso,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0021,PAOCC 2020 — Centro Cultural Placilla,Centro Cultural Placilla,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,12964150,2020,valparaiso,Valparaíso,valparaiso,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0022,PAOCC 2020 — Agrupación Cultural de Santo Domingo,Agrupación Cultural de Santo Domingo,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,17930765,2020,santo-domingo,Santo Domingo,san-antonio,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,COMP-0035,Agrupación Cultural de Santo Domingo,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0023,PAOCC 2020 — Fundación Cultural Lumbre,Fundación Cultural Lumbre,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,17977858,2020,limache,Limache,marga-marga,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,COMP-0036,Fundación Cultural Lumbre,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0024,PAOCC 2020 — CasaPlan,CasaPlan,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,17592638,2020,vina-del-mar,Viña del Mar,valparaiso,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0025,PAOCC 2020 — Espacio Cultural Warhola,Espacio Cultural Warhola,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,16440898,2020,valparaiso,Valparaíso,valparaiso,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0026,PAOCC 2020 — Dispositivo Cultural,Dispositivo Cultural,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,7831750,2020,valparaiso,Valparaíso,valparaiso,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0027,PAOCC 2020 — Centro Cultural Agrupación de Danza Miguel Pizarro,Centro Cultural Agrupación de Danza Miguel Pizarro,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,17713787,2020,valparaiso,Valparaíso,valparaiso,danza,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0028,PAOCC 2020 — Cámara Lúcida,Cámara Lúcida,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,15439846,2020,valparaiso,Valparaíso,valparaiso,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0029,PAOCC 2020 — Cine Arte de Viña del Mar,Cine Arte de Viña del Mar,NO ENCONTRADO,Programa de Apoyo a Organizaciones Culturales Colaboradoras (PAOCC),NO ENCONTRADO,17998000,2020,vina-del-mar,Viña del Mar,valparaiso,artes escénicas,NO ENCONTRADO,seleccionado,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0030,Residencia para la creación de S.O.M.A: acciones mínimas para no somatizar,NO ENCONTRADO,Carina Victoria Aspillaga Bórquez,Fondo de Artes Escénicas,Residencias de creación,9915832,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,827878,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Carina Victoria Aspillaga Bórquez. Página 2 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0031,HERRAMIENTAS DE SERVICIO; UNA ODA A LA VOCACIÓN CULINARIA,NO ENCONTRADO,Roberto Nicolás Arellano Acuña,Fondo de Artes Escénicas,Residencias de creación,9568167,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,835135,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Roberto Nicolás Arellano Acuña. Página 2 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0032,Experimento nº 4: Parpadeo. Intrucciones para aparecer en la oscuridad,NO ENCONTRADO,Marcela Ursula Rendic Parera,Fondo de Artes Escénicas,Residencias de creación,9036937,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,823427,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Marcela Ursula Rendic Parera. Página 3 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0033,Antípodas de Valparaíso,NO ENCONTRADO,Javiera De Luna Vilches Suárez,Fondo de Artes Escénicas,Residencias de creación,5931992,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,835307,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Javiera De Luna Vilches Suárez. Página 3 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0034,"MARÍTIMA: Residencia de lo inasible. Ondas que se mueven, (re)suenan y hablan.",NO ENCONTRADO,Francisca Victoria del Rosario Vargas Barraza,Fondo de Artes Escénicas,Residencias de creación,9870009,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,835569,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Francisca Victoria del Rosario Vargas Barraza. Página 3 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0035,Memorias de un naufragio,NO ENCONTRADO,Kjesed Ana Victoria Faundes Encina,Fondo de Artes Escénicas,Composición escénica/ Dramaturgia,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,833134,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Kjesed Ana Victoria Faundes Encina. Página 4 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0036,El último otoño,NO ENCONTRADO,No aplica / anónimo,Fondo de Artes Escénicas,Composición escénica/ Dramaturgia,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,837787,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: No aplica / anónimo. Página 5 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0037,Hoy Tocan Las Gallinas Clandestinas,NO ENCONTRADO,No aplica / anónimo,Fondo de Artes Escénicas,Composición escénica/ Dramaturgia,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,822825,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: No aplica / anónimo. Página 5 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0038,La Marioneta de Dios,NO ENCONTRADO,Felipe Arturo Lira Araya,Fondo de Artes Escénicas,Composición escénica/ Composición coreográfica,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,818801,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Felipe Arturo Lira Araya. Página 5 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0039,Tensiones coreográficas,NO ENCONTRADO,Jairo Alejandro Urtubia Mendoza,Fondo de Artes Escénicas,Composición escénica/ Composición coreográfica,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,830831,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Jairo Alejandro Urtubia Mendoza. Página 6 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0040,IN TENSIÒN,NO ENCONTRADO,Nicol Andrea Sánchez Santis,Fondo de Artes Escénicas,Composición escénica/ Composición coreográfica,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,840445,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Nicol Andrea Sánchez Santis. Página 6 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0041,"""Práctica escénica contra la pedagogía del poder""",NO ENCONTRADO,No aplica / anónimo,Fondo de Artes Escénicas,Composición escénica/ Composición coreográfica,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,812964,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: No aplica / anónimo. Página 7 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0042,Purrún,NO ENCONTRADO,No aplica / anónimo,Fondo de Artes Escénicas,Composición escénica/ Composición coreográfica,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,837894,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: No aplica / anónimo. Página 7 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0043,Tito Lastarria,NO ENCONTRADO,Roberto Andrés González Oxa,Fondo de Artes Escénicas,Composición escénica/ Actos y rutinas circenses,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,840897,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Roberto Andrés González Oxa. Página 7 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0044,Pulsando Lo Humano,NO ENCONTRADO,No aplica / anónimo,Fondo de Artes Escénicas,Composición escénica/ Actos y rutinas circenses,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,823033,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: No aplica / anónimo. Página 8 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0045,"Décimas por Travesura en Valparaíso, Laguna Verde, Placilla y Viña del Mar.",NO ENCONTRADO,Claudio Nicolás Lazcano Pozo,Fondo de Artes Escénicas,Composición escénica / Composición para narración oral,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,837771,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Claudio Nicolás Lazcano Pozo. Página 9 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0046,La Odisea desde Odiseo,NO ENCONTRADO,Pablo Andrés Olivares Dubart,Fondo de Artes Escénicas,Composición escénica / Composición para narración oral,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,841668,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Pablo Andrés Olivares Dubart. Página 9 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0047,Los sonidos que imagino: obra de narración oral con Lengua de Señas Chilena,NO ENCONTRADO,No aplica / anónimo,Fondo de Artes Escénicas,Composición escénica / Composición para narración oral,3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,839880,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: No aplica / anónimo. Página 9 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0048,YinYang,NO ENCONTRADO,Anaí Valentina Núñez Riveros,Fondo de Artes Escénicas,"Composición escénica / Guión, diseño y/o construcción de títeres",3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,814899,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Anaí Valentina Núñez Riveros. Página 10 del PDF. Comuna no indicada en la nómina (solo región).
FIN-0049,Creación de caja lambe lambe Miguelina y el faro de extrañezas.,NO ENCONTRADO,Tomás Fernando Vidal Castañón,Fondo de Artes Escénicas,"Composición escénica / Guión, diseño y/o construcción de títeres",3500000,2026,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,835076,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable según nómina: Tomás Fernando Vidal Castañón. Página 10 del PDF. Comuna no indicada en la nómina (solo región).
