id,url,titulo,publicador,tipo,calidad,fecha_consulta,capa,consulta,notas
FUE-0015,https://g5noticias.cl/2024/10/15/valparaiso-festival-ventolera-celebrara-a-titiriteros-y-marionetistas-de-la-region/,Valparaíso: Festival Ventolera celebrará a titiriteros y marionetistas de la región,G5 Noticias,prensa,C,2026-09-05,0,importacion data/,"Confirma que ATTICH V, junto a la Seremi de las Culturas, organiza el IV Festival Ventolera; lista las compañías participantes con su comuna."
FUE-0016,https://g5noticias.cl/2026/03/16/festival-caleta-de-titeres-ofrecera-funciones-sobre-lanchas-en-valparaiso/,"Festival ""Caleta de Títeres"" ofrecerá funciones sobre lanchas en Valparaíso",G5 Noticias,prensa,C,2026-09-05,0,importacion data/,"Confirma organizadores del Festival Caleta de Títeres II (22 de marzo de 2026, Muelle Prat) y compañías participantes."
FUE-0017,https://www.theclinic.cl/2026/03/16/hasta-con-funciones-de-titeres-sobre-lanchas-valparaiso-se-prepara-para-celebrar-el-dia-mundial-del-titere-y-la-marioneta-2026/,Hasta con funciones de títeres sobre lanchas: Valparaíso se prepara para celebrar el Día Mundial del Títere y la Marioneta 2026,The Clinic,prensa,C,2026-09-05,0,importacion data/,"Confirma fecha, lugar, obras programadas y modalidad de inscripción del Festival Caleta de Títeres II (2026), segunda edición tras la de 2025."
FUE-0018,https://www.patrimonioinmaterial.gob.cl/sites/www.patrimonioinmaterial.gob.cl/files/2025-04/2025_03_04%20catalogo_titeres%20final%202ok.pdf,Catálogo Compañías de Teatro Tradicional de Títeres Región de Valparaíso,Servicio Nacional del Patrimonio Cultural — Dirección Regional Valparaíso,oficial,B,2026-09-05,0,importacion data/,"Cuatro de las seis compañías del catálogo (Titiricaos, La Barconeta, La Capuchina, Vaccaro Puppets) declaran formar parte de la ""Asamblea Titiritera ATTICH Quinta Región""."
FUE-0019,https://www.sigpa.cl/ficha-colectivo/colectiva-artistica-medioambiental-la-capuchina,SIGPA — Colectiva Artística Medioambiental La Capuchina,Servicio Nacional del Patrimonio Cultural (SIGPA),oficial,B,2026-09-05,0,importacion data/,"Registro SIGPA CC6995... (id CC7603), fecha de registro 30-09-2024. Confirma comuna Valparaíso e integrantes fundadoras Waleska Vilches Valdivia y Ana Sagredo Núñez."
FUE-0020,https://www.teatromuseo.cl/noticia/agosto-se-despide-con-broche-de-oro-un-estreno_65,Agosto se despide con broche de oro: un estreno (programación del estreno de La Ruta de la Quebrada),Fundación TeatroMuseo del Títere y el Payaso,institucional,A,2026-09-05,0,importacion data/,"Menciona el estreno de La Ruta de la Quebrada (Cerro Las Cañas, El Litre) y una convocatoria 2023 del Ministerio de las Culturas; el artículo no consigna año de publicación explícito, se infiere 2023 por el contexto."
FUE-0021,https://www.instagram.com/elmundodelostiteres/,"El Mundo de los Títeres (@elmundodelostiteres) — cuenta con ubicación pública ""Quilpué""",Compañía de Muñecos Marionautas,red-social,D,2026-09-05,0,importacion data/,"Cuenta encontrada por búsqueda web; el handle coincide exactamente con el publicado en el catálogo oficial. No se abrió directamente (Instagram no es accesible para este asistente); cuenta como nivel 1 solo para existencia y comuna, no para trayectoria."
FUE-0022,NO ENCONTRADO,Carta de compromiso — Villa alemana.pdf (25 de agosto de 2026),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente.
FUE-0023,NO ENCONTRADO,"Investigación madre Quinta Escena Podcast — perfil 5 (cita Municipalidad de Villa Alemana, Registro de organizaciones Ley 19.862)","Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Registro Ley 19.862 es verificable en registros19862.cl; URL pendiente.
FUE-0024,NO ENCONTRADO,Carta de compromiso — San Antonio.pdf (21 de agosto de 2026),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,"Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. El RUT de la sociedad, presente en la carta, no se replica."
FUE-0025,NO ENCONTRADO,Propuesta de difusión Quinta Escena Podcast (versión vigente),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente.
FUE-0026,https://elproa.cl/2021/12/compania-de-teatro-la-lancha-se-ha-lucido-con-su-obra-llo-lle-we-la-historia-de-san-antonio/,"Compañía de teatro La Lancha se ha lucido con su obra Llo Lle We, la historia de San Antonio",El Proa,prensa,C,2026-09-05,0,importacion data/,"Publicada el 24 de diciembre de 2021. Confirma la existencia y actividad de la compañía con Llo Lle We, con más de 23 funciones a esa fecha."
FUE-0027,NO ENCONTRADO,"Investigación madre Quinta Escena Podcast — perfil 2 (cita Universidad de Chile, Teatromuseo, Parque Cultural de Valparaíso)","Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. URLs pendientes.
FUE-0028,NO ENCONTRADO,"Compañías candidatas por provincia (levantamiento interno, 4 de agosto de 2026)","Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Documento de trabajo; confirmar con la compañía.
FUE-0029,https://oaniteatro.com/compania/,OANI — Fundación OANI de Teatro (sitio oficial),Fundación OANI de Teatro,oficial,B,2026-09-05,0,importacion data/,Fetch directo del sitio oficial.
FUE-0030,https://oaniteatro.com/,OANI Home,Fundación OANI de Teatro,oficial,B,2026-09-05,0,importacion data/,"Fetch directo confirmando enlaces de redes sociales (@oaniteatro en Facebook, Instagram y X) y agenda de actividades de 2025-2026."
FUE-0031,https://www.biobiochile.cl/noticias/artes-y-cultura/actualidad-cultural/2026/01/26/estreno-de-nosotrxs-de-oani-teatro-se-presentara-en-calle-y-sitios-no-convencionales-de-valparaiso.shtml,Estreno de «NOSOTRXS» de OANI Teatro: se presentará en calle y sitios no convencionales de Valparaíso,BioBioChile,prensa,C,2026-09-05,0,importacion data/,Confirma «28 años» de trayectoria a enero de 2026 (coherente con fundación en 1998) y el financiamiento Fondart 2025 de NOSOTRXS.
FUE-0032,https://parquecultural.cl/2019/09/12/valparaiso-celebra-los-30-anos-del-teatro-lambe-lambe/,Valparaíso celebra los 30 años del teatro Lambe Lambe,Parque Cultural de Valparaíso,institucional,A,2026-09-05,0,importacion data/,NO ENCONTRADO
FUE-0033,https://www.sigpa.cl/ficha-colectivo/guaico-titeres,SIGPA — Guaico Títeres,Servicio Nacional del Patrimonio Cultural (SIGPA),oficial,B,2026-09-05,0,importacion data/,"Registro SIGPA CC6995, fecha de registro 08-03-2023. Confirma comuna Valparaíso (cerro Playa Ancha) y técnicas de manipulación de títeres; no entrega nombres individuales de integrantes."
FUE-0034,https://gam.cl/es/que-hacer-en-gam/danza/la-caracol/,La Caracol — Danza,Centro Cultural Gabriela Mistral (GAM),institucional,A,2026-09-05,0,importacion data/,Página de programación del GAM con biografía del colectivo y de la obra.
FUE-0035,https://www.elmostrador.cl/braga/2021/07/08/la-caracol-obra-de-danza-para-la-infancia-que-muestra-la-defensa-de-los-derechos-de-la-ninez/,«La Caracol»: obra de danza para la infancia que muestra la defensa de los derechos de la niñez,El Mostrador,prensa,C,2026-09-05,0,importacion data/,NO ENCONTRADO
FUE-0036,https://radio.uchile.cl/2024/08/22/la-caracol-el-montaje-familiar-para-hablar-sobre-derechos-de-ninas-y-ninos-que-arriba-al-gam/,«La Caracol»: el montaje familiar para hablar sobre derechos de niñas y niños que arriba al GAM,Diario y Radio Universidad de Chile,prensa,C,2026-09-05,0,importacion data/,NO ENCONTRADO
FUE-0037,https://diariolaquinta.cl/2026/07/31/proyecto-mujeres-en-escena-llevara-teatro-danza-y-circo-a-seis-provincias-de-la-region-de-valparaiso/,"Proyecto «Mujeres en Escena» llevará teatro, danza y circo a seis provincias de la Región de Valparaíso",Diario La Quinta,prensa,C,2026-09-05,0,importacion data/,Confirma actividad vigente al 31 de julio de 2026 y la gira hasta enero de 2027.
FUE-0038,https://ritoquefm.cl/mujeres-en-la-escena-la-red-cooperativa-que-desafia-al-centralismo-y-recorre-el-valparaiso-profundo/,Mujeres en la escena: la red cooperativa que desafía al centralismo y recorre el Valparaíso profundo,Ritoque FM,prensa,C,2026-09-05,0,importacion data/,"Describe a la agrupación que presenta «La Caracol» en la gira 2026 como interregional (Región de Valparaíso y Región del Biobío), lo que podría referirse a la formación ampliada de esta gira y no a la sede fundacional del colectivo (Valparaíso, según GAM). Se registran ambas versiones."
FUE-0039,https://semanaeducacionartistica.cultura.gob.cl/author/ludus-teatro/,LUDUS TEATRO | #SEA2024,"Ministerio de las Culturas, las Artes y el Patrimonio — Semana de la Educación Artística",institucional,A,2026-09-05,0,importacion data/,"URL localizada por buscador; el contenido citado proviene del resumen generado por el buscador. El intento de este asistente de abrir la página directamente (WebFetch) devolvió error 404 el 2026-09-05, por lo que no se pudo confirmar leyendo la página completa. Requiere que un verificador humano la revise."
FUE-0040,https://radio.uchile.cl/2021/11/09/companias-de-teatro-familiar-llevan-sus-producciones-a-cinco-comunas-de-la-region-de-valparaiso/,Compañías de teatro familiar llevan sus producciones a cinco comunas de la Región de Valparaíso,Diario y Radio Universidad de Chile,prensa,C,2026-09-05,0,importacion data/,"Confirma la obra «Don Tilde desmemoriado» de Ludus Teatro en el Teatro Municipal Juan Bustos Ramírez de Quilpué, 14 de noviembre de 2021."
FUE-0041,https://web-old.parquecultural.cl/2016/08/30/don-tilde-desmemoriado-2/,«Don Tilde desmemoriado» — Cia Teatro Ludus,Parque Cultural de Valparaíso,institucional,A,2026-09-05,0,importacion data/,Registra una función de agosto de 2016 en la Sala Estudio del Parque Cultural de Valparaíso; no confirma comuna de origen de la compañía.
FUE-0042,NO ENCONTRADO,Carta de compromiso — Quillota.pdf (27 de agosto de 2026),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente.
FUE-0043,NO ENCONTRADO,Investigación madre Quinta Escena Podcast — perfil 4,"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente.
FUE-0044,https://www.biobiochile.cl/noticias/artes-y-cultura/teatro/2025/11/13/teatro-la-peste-celebra-25-anos-con-adaptacion-de-novela-de-diamela-eltit.shtml,Teatro La Peste celebra 25 años con adaptación de novela de Diamela Eltit,BioBioChile,prensa,C,2026-09-05,0,importacion data/,"Confirma 25 años de trayectoria a noviembre de 2025 y el estreno de SUMAR, archivos del fracaso el 13 de noviembre de 2025."
FUE-0045,https://www.uv.cl/archivo-noticias-uv/28396-teatro-la-peste-conmemora-25-anos-con-obra-error-en-sala-negra-uv,Teatro La Peste conmemora 25 años con obra «Error» en Sala Negra UV,Universidad de Valparaíso,institucional,A,2026-09-05,0,importacion data/,"Fuente institucional (universidad) que confirma comuna (Valparaíso, «compañía porteña»), director y trayectoria."
FUE-0046,https://parquecultural.cl/events/sumar-teatro-la-peste/,Sumar - Teatro La Peste,Parque Cultural de Valparaíso,institucional,A,2026-09-05,0,importacion data/,NO ENCONTRADO
FUE-0047,https://www.eldesconcierto.cl/2016/04/08/dialogo-politico-teatral-con-danilo-llanos-director-de-la-obra-error/,"Diálogo político-teatral con Danilo Llanos, director de la obra «Error»",El Desconcierto,prensa,C,2026-09-05,0,importacion data/,"Entrevista con detalle sobre fundadoras, núcleo estable, Fondart 2001 y el Encuentro de Teatro Porteño Independiente desde 2004; contenido citado a partir del resumen del buscador."
FUE-0048,https://www.valparaisocreativo.cl/valparaiso-tiene-algo-que-decir-al-mundo-teatro-la-peste-impulsa-un-plan-para-internacionalizar-el-teatro-regional/,«Valparaíso tiene algo que decir al mundo»: Teatro La Peste impulsa un plan para internacionalizar el teatro regional,Valparaíso Creativo,institucional,A,2026-09-05,0,importacion data/,"El intento de este asistente de abrir la página directamente devolvió un aviso de hosting suspendido (ihosting.cl); el contenido citado proviene del resumen generado por el buscador, no de una lectura directa de la página. Requiere verificación humana."
FUE-0049,NO ENCONTRADO,Carta de compromiso — Los Andes.pdf (31 de agosto de 2026),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente.
FUE-0050,NO ENCONTRADO,"Investigación madre Quinta Escena Podcast — perfil 1 (cita SIGPA, Diario El Trabajo)","Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Diario El Trabajo ya localizado y registrado como fuente propia (ver fuente siguiente).
FUE-0051,https://eltrabajo.cl/web/el-arte-de-dar-vida-dos-titiriteros-del-valle-son-reconocidos-como-cultores/,El arte de dar vida: Dos titiriteros del valle son reconocidos como cultores,Diario El Trabajo,prensa,C,2026-09-05,0,importacion data/,Publicada el 24 de agosto de 2026. Confirma la función de Varieté de Marionetas Musicales del 25 de agosto de 2026 en la Escuela Mateo Cokljat de San Felipe.
FUE-0052,https://www.ivoox.com/en/entrevista-a-eduardo-romero-director-compania-audios-mp3_rf_71461265_1.html,"Entrevista a Eduardo Romero, Director de la Compañía de Teatro Humedal del Río Maipo",ChilenaFM de San Antonio (iVoox),prensa,C,2026-09-05,0,importacion data/,"El resumen de la entrevista ubica a la compañía en Santo Domingo (a 8 km al sur de San Antonio, junto al río Maipo), lo que difiere de la comuna «San Antonio» anotada al abrir esta tarea en la cola de investigación. La entrevista es del 15 de junio de 2021."
FUE-0053,https://www.facebook.com/people/Compa%C3%B1ia-titeres-humedal-rio-maipo/100068390424438/,Compañia titeres humedal rio maipo,Compañía Títeres Humedal Río Maipo (Facebook oficial),red-social,D,2026-09-05,0,importacion data/,Página con 205 seguidores localizada por buscador; no se abrió directamente para confirmar fecha de la última publicación (Facebook no es accesible para este asistente).
FUE-0054,NO ENCONTRADO,Investigación madre Quinta Escena Podcast — perfil 2,"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. URL pendiente.
FUE-0055,NO ENCONTRADO,Investigación madre Quinta Escena Podcast — perfil 5 (cita Compañía de Teatro Alegría en Perú),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. URL pendiente.
FUE-0056,NO ENCONTRADO,Investigación madre Quinta Escena Podcast — perfil 7 (cita El Proa y Dossier Viaje Inmóvil — Llo Lle We),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. El Proa ya localizado y registrado como fuente propia (ver fuente siguiente); el Dossier Viaje Inmóvil sigue sin URL.
FUE-0057,NO ENCONTRADO,Investigación madre Quinta Escena Podcast — perfil 1 (cita Diario El Trabajo),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Diario El Trabajo ya localizado y registrado como fuente propia (ver fuente siguiente).
FUE-0058,https://centrocultural.sanantonio.cl/index.php/item/3100-san-antonio-da-la-bienvenida-a-septiembre-con-una-amplia-programacion-para-toda-la-familia,San Antonio da la bienvenida a septiembre con una amplia programación para toda la familia,Centro Cultural San Antonio / Ilustre Municipalidad de San Antonio,oficial,B,2026-09-05,0,importacion data/,"Confirma fecha (sábado 5 de septiembre), hora (19:00), lugar (Sala Civita Aranda) y compañía (El Ojo Teatro) de la función, y que la programación de septiembre es gratuita para la comunidad."
FUE-0059,https://teatromuseo.cl/cartelera,Cartelera — Fundación Teatromuseo,Fundación Teatromuseo del Títere y el Payaso,oficial,B,2026-09-05,0,importacion data/,Fecha y hora confirmadas el mismo día del levantamiento en la cartelera oficial del espacio.
FUE-0060,https://www.cultura.gob.cl/agendacultural/festival-caleta-de-titeres-ofrecera-funciones-sobre-lanchas-en-valparaiso/,"Festival ""Caleta de Títeres"" ofrecerá funciones sobre lanchas en Valparaíso","Ministerio de las Culturas, las Artes y el Patrimonio",institucional,A,2026-09-05,0,importacion data/,"Confirma organizadores (ATTICH V, Teatromuseo, Empresa Portuaria Valparaíso, Centex, Seremi de las Culturas), fecha (22 de marzo de 2026) y funciones sobre lanchas."
FUE-0061,https://www.elciudadano.com/arte-cultura/marionetas-se-toman-el-muelle-prat-en-una-nueva-edicion-de-caleta-de-titeres/03/17/,"Marionetas se toman el Muelle Prat en una nueva edición de ""Caleta de Títeres""",El Ciudadano,prensa,C,2026-09-05,0,importacion data/,"Confirma compañías (Talán-Talán, Compañía Terrestre, Lorenzo Títeres, Compañía La Bululú, Compañía La Barconeta) y obras programadas."
FUE-0062,https://diariolaquinta.cl/2026/04/09/festival-litoral-teatral-2026-arranca-este-domingo-en-san-antonio/,Festival Litoral Teatral 2026 arranca este domingo en San Antonio,Diario La Quinta,prensa,C,2026-09-05,0,importacion data/,"Cita textual: ""A 10 años de su primera versión en 2016""; confirma organizador (Centro Cultural San Antonio), financiamiento (Fondo de Artes Escénicas del Ministerio de las Culturas) y funciones del 12, 19, 25 y 26 de abril."
FUE-0063,https://centrocultural.sanantonio.cl/index.php/item/3077-destacadas-obras-trae-a-san-antonio-el-festival-litoral-teatral-2026,Destacadas obras trae a San Antonio el Festival Litoral Teatral 2026,Centro Cultural San Antonio,oficial,B,2026-09-05,0,importacion data/,"Confirma 13 compañías, 12 espectáculos y las funciones del 19, 25 y 26 de abril de 2026."
FUE-0064,https://centrocultural.sanantonio.cl/index.php/item/3079-exito-total-del-festival-litoral-teatral-2026,Éxito total del Festival Litoral Teatral 2026,Centro Cultural San Antonio,oficial,B,2026-09-05,0,importacion data/,Balance final: más de tres mil asistentes; confirma financiamiento del Fondo de Artes Escénicas (postulación 2025) y el marco de la década desde 2016.
FUE-0065,https://elproa.cl/2026/04/circo-y-mascaras-en-la-segunda-semana-del-festival-litoral-teatral/,Circo y máscaras en la segunda semana del Festival Litoral Teatral,El Proa,prensa,C,2026-09-05,0,importacion data/,"Confirma la función del viernes 17 de abril de 2026, 19:00 horas, de Circo Ancestral en Sala Civita Aranda."
FUE-0066,https://festivalteatrocontainer.cl/festival-teatro-container/,VIII Festival Teatro Container 2024,Teatro Container,oficial,B,2026-09-05,0,importacion data/,"Sitio oficial del festival. Confirma fechas (21 al 23 de noviembre de 2024), historia (fundado en 2008, dieciséis años, octava edición) y líneas de programación."
FUE-0067,https://www.elmostrador.cl/cultura/agenda/2024/11/20/festival-teatro-container-en-valparaiso/,Festival Teatro Container en Valparaíso,El Mostrador,prensa,C,2026-09-05,0,importacion data/,"Confirma fechas, financiamiento declarado por el director Nicolás Eyzaguirre y listado de compañías/obras participantes."
FUE-0068,https://g5noticias.cl/2024/11/20/festival-teatro-container-regresa-a-las-calles-de-valparaiso-en-su-octava-version-artes-vivas-comunidad-y-ciudad/,"Festival Teatro Container regresa a las calles de Valparaíso en su octava versión: artes vivas, comunidad y ciudad",G5 Noticias,prensa,C,2026-09-05,0,importacion data/,"Confirma el regreso del festival tras cuatro años sin realizarse y el lema ""Practicar la calle""."
FUE-0069,https://www.cultura.gob.cl/agendacultural/valparaiso-festival-ventolera-celebrara-a-titiriteros-y-marionetistas-de-la-region/,Valparaíso: Festival Ventolera celebrará a titiriteros y marionetistas de la región,"Ministerio de las Culturas, las Artes y el Patrimonio",institucional,A,2026-09-05,0,importacion data/,"Confirma organizador (Asamblea Titiritera ATTICH V con Seremi de las Culturas), fecha, sede y taller con Giovanni Vaccaro."
FUE-0070,https://oaniteatro.com/puerto-a-puerta-valparaiso/,Puerto a Puerta Valparaíso,OANI Teatro,oficial,B,2026-09-05,0,importacion data/,"Sitio oficial de una de las compañías coproductoras. Confirma fechas (1 y 8 de diciembre de 2024), horario, ubicación y coorganizador (Centro Cultural Teatro Container)."
FUE-0071,https://oaniteatro.com/itinerancia-puerto-a-puerta/,"Itinerancia ""Puerto a Puerta""",OANI Teatro,oficial,B,2026-09-05,0,importacion data/,"Describe la itinerancia paralela por El Quisco, El Tabo, San Antonio y Santo Domingo en 2024, financiada por el Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas Itinerantes Regionales (convocatoria 2024)."
FUE-0072,NO ENCONTRADO,Carta de compromiso y autorización de participación — San Antonio.pdf (21 de agosto de 2026),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Datos personales no replicados.
FUE-0073,NO ENCONTRADO,"Investigación madre Quinta Escena Podcast — perfil 7 (cita El Proa, Dossier Viaje Inmóvil — Llo Lle We, perfil profesional)","Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. El Proa ya localizado y registrado como fuente propia (ver fuente siguiente); el Dossier Viaje Inmóvil sigue sin URL.
FUE-0074,NO ENCONTRADO,Carta de compromiso y autorización de participación — Putaendo.pdf (19 de agosto de 2026),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Datos personales no replicados.
FUE-0075,NO ENCONTRADO,"Investigación madre Quinta Escena Podcast — perfil 2 (cita Universidad de Chile, Teatromuseo, Parque Cultural de Valparaíso, Fondos de Cultura resultados 2025, Fundación BAT)","Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. URLs pendientes de localizar.
FUE-0076,NO ENCONTRADO,Carta de compromiso y autorización de participación — Viña del Mar.pdf (26 de agosto de 2026),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Datos personales no replicados.
FUE-0077,NO ENCONTRADO,"Investigación madre Quinta Escena Podcast — perfil 6 (cita perfil profesional y Escuela Naval, Academia Cultural 2022)","Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Nivel de información medio según la investigación; profundizar.
FUE-0078,NO ENCONTRADO,Carta de compromiso y autorización de participación — Los Andes.pdf (31 de agosto de 2026),"Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Documento firmado por la persona. Contiene datos personales que no se replican.
