id,nombre,roles,companias,companias_nombre,comuna,comuna_nombre,provincia,obras_dirigidas,obras_dirigidas_nombre,formacion,trayectoria,instagram,web,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
PER-0011,Natalia Vanessa Zúñiga Ortiz,Narrador/a oral | Actor/actriz | Dramaturgo/a | Mediador/a | Gestor/a cultural | Responsable de proyecto (Fondos Cultura),COMP-0012 | COMP-0018 | COMP-0019,"Productora ABC: Arte, Bienestar y Cultura | Teatro Ánima | Compañía de Teatro Espontáneo de Quillota",quillota,Quillota,quillota,NO ENCONTRADO,NO ENCONTRADO,"{""title"": ""Diplomado en Dramaturgia (Fondos de Cultura 2021 y 2022)"", ""institution"": ""[NO ENCONTRADO]"", ""year"": 2022, ""source_index"": 1}; {""title"": ""Especialización en método Alba Emoting (Fondos de Cultura 2023)"", ""institution"": ""[NO ENCONTRADO]"", ""year"": 2023, ""source_index"": 1}","Actriz de Teatro Ánima (aprox. 2016–2019) en *El viaje de los caracoles* y *Orejas sucias*; integrante de la Compañía de Teatro Espontáneo de Quillota (2017–2019). Manipuladora de teatro en miniatura (Lambe-Lambe) en *Arrullo para un hombre de mar*; intervenciones de Lambe-Lambe en la Feria del Libro Tricentenario de Quillota. Autora de la dramaturgia *Pieza Chica* (Fondo Nacional del Libro y la Lectura 2019). Seleccionada por Fondos de Cultura para Diplomado en Dramaturgia (2021, folio 593604; 2022, folio 629208) y para especialización en Alba Emoting (2023). En 2022 realizó una función de cuentacuentos contratada por la Municipalidad de Quillota en el Colegio Valle de Quillota.",NO ENCONTRADO,NO ENCONTRADO,FUE-0080 | FUE-0081 | FUE-0117,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Importado de data/artists/natalia-zuniga-ortiz.json (score 65). Vínculos declarados: Teatro Ánima (actriz, aprox. 2016–2019); Compañía de Teatro Espontáneo de Quillota (2017–2019). Responsable del proyecto «Alba emoting» (Fondo de Artes Escénicas 2023, Especialización y Perfeccionamiento). Comuna no indicada en la nómina (solo región)."
PER-0012,Nelson Hernán Rojas Torres,Director/a | Gestor/a cultural | Músico/a escénico | Actor/actriz,COMP-0001 | COMP-0020,Arte Escénico La Ligua | Teatro del Silencio,la-ligua,La Ligua,petorca,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"El Festival Valle del Liwa alcanzó su quinta edición en 2024; la edición 2023 fue financiada mediante el 7% FNDR del Gobierno Regional de Valparaíso. En 2018 participó en la residencia de arte colaborativo Recolectores de Memoria (Lota). Es compositor, percusionista y músico en proyectos del Teatro del Silencio (director musical en *Inferno*).",NO ENCONTRADO,NO ENCONTRADO,FUE-0082 | FUE-0083 | FUE-0084,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/artists/nelson-rojas-torres.json (score 70). Vínculos declarados: Teatro del Silencio (compositor y percusionista).
PER-0013,Víctor Eduardo Opazo Herrera,Actor/actriz | Director/a | Gestor/a cultural | Músico/a escénico,COMP-0005,Compañía de Teatro Alegría,villa-alemana,Villa Alemana,marga-marga,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Integrante del elenco de *El Loco y la Triste*, de Juan Radrigán, montaje que la compañía llevó en 2018 a San Juan de Lurigancho (Perú) con funciones gratuitas en colegios, instituciones y espacios comunitarios. En 2022 participó en el Primer Encuentro de Artistas, Gestores y Cultores de Villa Alemana, donde planteó que el desarrollo artístico territorial debe comenzar «desde nosotros mismos, desde las bases».",NO ENCONTRADO,NO ENCONTRADO,FUE-0085 | FUE-0086,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/artists/victor-opazo-herrera.json (score 65).
PER-0014,Rafael Brozzi,Director/a,COMP-0004,Compañía de Muñecos Marionautas,quilpue,Quilpué,marga-marga,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0018 | FUE-0087,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
PER-0015,Paola Escudero Navia,Director/a | Titiritero/a,COMP-0016,Titiricaos,valparaiso,Valparaíso,valparaiso,OBR-0056,A la Memoria de Carla Korman,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0018 | FUE-0117,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Responsable de 'A la Memoria de Carla Korman' (títeres 2023).
PER-0016,Giovanni Vaccaro,Titiritero/a | Actor/actriz | Narrador/a oral,COMP-0024,Compañía Vaccaro Puppets,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Actor profesional, titiritero, pedagogo teatral y cuentacuentos; fundador de Vaccaro Puppets. Primer lugar en el Festival de Teatro Juan Edmundo González (2003 y 2005).",NO ENCONTRADO,NO ENCONTRADO,FUE-0018,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
PER-0017,Miguel Muñoz,Dramaturgo/a,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Citado como autor o director de la obra 'Mentira' (Sala UPLA, 2020-2021); el rol exacto no se especifica en la fuente."
PER-0018,George Casanova,Director/a,COMP-0045,Teatro del Instinto,valparaiso,Valparaíso,valparaiso,OBR-0025,Extraño ser,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
PER-0019,Carina Victoria Aspillaga Bórquez,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094 | FUE-0099,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Residencia para la creación de S.O.M.A: acciones mínimas para no somatizar» (Fondo de Artes Escénicas 2026, Residencias de creación). Comuna no indicada en la nómina (solo región). Responsable del proyecto «Finalización de Maestría en Teatro y Artes Performáticas en la Universidad de las Artes» (Fondo de Artes Escénicas 2025, Magíster, Máster y Maestrías). Comuna no indicada en la nómina (solo región)."
PER-0020,Roberto Nicolás Arellano Acuña,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «HERRAMIENTAS DE SERVICIO; UNA ODA A LA VOCACIÓN CULINARIA» (Fondo de Artes Escénicas 2026, Residencias de creación). Comuna no indicada en la nómina (solo región)."
PER-0021,Marcela Ursula Rendic Parera,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Experimento nº 4: Parpadeo. Intrucciones para aparecer en la oscuridad» (Fondo de Artes Escénicas 2026, Residencias de creación). Comuna no indicada en la nómina (solo región)."
PER-0022,Javiera De Luna Vilches Suárez,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Antípodas de Valparaíso» (Fondo de Artes Escénicas 2026, Residencias de creación). Comuna no indicada en la nómina (solo región)."
PER-0023,Francisca Victoria del Rosario Vargas Barraza,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «MARÍTIMA: Residencia de lo inasible. Ondas que se mueven, (re)suenan y hablan.» (Fondo de Artes Escénicas 2026, Residencias de creación). Comuna no indicada en la nómina (solo región)."
PER-0024,Kjesed Ana Victoria Faundes Encina,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Memorias de un naufragio» (Fondo de Artes Escénicas 2026, Composición escénica/ Dramaturgia). Comuna no indicada en la nómina (solo región)."
PER-0025,Felipe Arturo Lira Araya,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094 | FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «La Marioneta de Dios» (Fondo de Artes Escénicas 2026, Composición escénica/ Composición coreográfica). Comuna no indicada en la nómina (solo región). Responsable del proyecto «Miniserie: Inventor de Alma» (Fondo de Artes Escénicas 2022, Trayectoria/Títeres). Comuna no indicada en la nómina (solo región)."
PER-0026,Jairo Alejandro Urtubia Mendoza,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Tensiones coreográficas» (Fondo de Artes Escénicas 2026, Composición escénica/ Composición coreográfica). Comuna no indicada en la nómina (solo región)."
PER-0027,Nicol Andrea Sánchez Santis,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «IN TENSIÒN» (Fondo de Artes Escénicas 2026, Composición escénica/ Composición coreográfica). Comuna no indicada en la nómina (solo región)."
PER-0028,Roberto Andrés González Oxa,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Tito Lastarria» (Fondo de Artes Escénicas 2026, Composición escénica/ Actos y rutinas circenses). Comuna no indicada en la nómina (solo región)."
PER-0029,Claudio Nicolás Lazcano Pozo,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Décimas por Travesura en Valparaíso, Laguna Verde, Placilla y Viña del Mar.» (Fondo de Artes Escénicas 2026, Composición escénica / Composición para narración oral). Comuna no indicada en la nómina (solo región)."
PER-0030,Pablo Andrés Olivares Dubart,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «La Odisea desde Odiseo» (Fondo de Artes Escénicas 2026, Composición escénica / Composición para narración oral). Comuna no indicada en la nómina (solo región)."
PER-0031,Anaí Valentina Núñez Riveros,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094 | FUE-0096,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «YinYang» (Fondo de Artes Escénicas 2026, Composición escénica / Guión, diseño y/o construcción de títeres). Comuna no indicada en la nómina (solo región). Responsable del proyecto «Shakespeare en miniatura / España 2026» (Fondo de Artes Escénicas 2026, Circulación Internacional). Comuna no indicada en la nómina (solo región)."
PER-0032,Tomás Fernando Vidal Castañón,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Creación de caja lambe lambe Miguelina y el faro de extrañezas.» (Fondo de Artes Escénicas 2026, Composición escénica / Guión, diseño y/o construcción de títeres). Comuna no indicada en la nómina (solo región)."
PER-0033,Gabriel Alejandro Castro Barra,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «“Atahualpa, el último canto del Sol”» (Fondo de Artes Escénicas 2026, Composición escénica / Guión, diseño y/o construcción de títeres). Comuna no indicada en la nómina (solo región)."
PER-0034,Se-Rok Park,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094 | FUE-0105,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Diasporica» (Fondo de Artes Escénicas 2026, Composición escénica / Interdisciplinar). Comuna no indicada en la nómina (solo región). Responsable del proyecto «Especialización en técnicas coreanas interdisciplinarias y estrategias performativas transculturales» (Fondo de Artes Escénicas 2024, Especialización y Perfeccionamiento). Comuna no indicada en la nómina (solo región)."
PER-0035,Cecilia Belén Céspedes Concha,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «De tal Pelo, tal Astilla. Obra Interdisciplinaria» (Fondo de Artes Escénicas 2026, Composición escénica / Interdisciplinar). Comuna no indicada en la nómina (solo región)."
PER-0036,Elier Elizabeth Arana Rojas,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Creación de Cuentos Sensoriales para la Infancia, ""Entre Solsticios y Equinoccios""» (Fondo de Artes Escénicas 2026, Composición escénica / Interdisciplinar). Comuna no indicada en la nómina (solo región)."
PER-0037,José Antonio Soto Luer,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094 | FUE-0117 | FUE-0124,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «La cuna de fuego: Montaje escénico por Palestina» (Fondo de Artes Escénicas 2026, Teatro). Comuna no indicada en la nómina (solo región). Responsable del proyecto «Circulación Pulso de un hombre homosexual latinoamericano» (Fondo de Artes Escénicas 2026, Grupo A). Comuna no indicada en la nómina (solo región). Responsable del proyecto «Pulso de un hombre homosexual latinoamericano» (Fondo de Artes Escénicas 2023, Teatro). Comuna no indicada en la nómina (solo región). Responsable del proyecto «La reminiscencia del hombre que parecía un siervo» (Fondo de Artes Escénicas 2022, Creación y Producción/Teatro). Comuna no indicada en la nómina (solo región)."
PER-0038,Verónica Isabel González Becerra,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Puesta en escena BÉSAME MACHO. Mujeres Infinitas» (Fondo de Artes Escénicas 2026, Teatro). Comuna no indicada en la nómina (solo región)."
PER-0039,daniela alondra trincado muñoz,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «VALPO RIAL» (Fondo de Artes Escénicas 2026, Danza). Comuna no indicada en la nómina (solo región)."
PER-0040,Javiera Inés Walker Alarcón,Responsable de proyecto (Fondos Cultura),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0094,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Responsable del proyecto «Creación y Producción de la obra de danza contemporánea MUDANZA» (Fondo de Artes Escénicas 2026, Danza). Comuna no indicada en la nómina (solo región)."
