id,nombre,alias,comuna,comuna_nombre,provincia,localidad,direccion,tipo_espacio,capacidad,administracion,programacion_teatral,companias,companias_nombre,web,instagram,facebook,correo,telefono,lat,lng,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
ESP-0011,Avanzada Cultural de Concón,NO ENCONTRADO,concon,Concón,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Centro cultural,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Integra la Red de Espacios Culturales de la Región de Valparaíso (2020).
ESP-0012,Centro Cultural Camilo Mori,NO ENCONTRADO,el-quisco,El Quisco,san-antonio,NO ENCONTRADO,NO ENCONTRADO,Centro cultural,NO ENCONTRADO,NO ENCONTRADO,sí,COMP-0100,Abisal,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089 | FUE-0144,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Integra la Red de Espacios Culturales de la Región de Valparaíso (2020). Función gratuita de 'Terrapolis' el 12 de agosto de 2025.
ESP-0013,Casa de la Cultura de El Tabo,NO ENCONTRADO,el-tabo,El Tabo,san-antonio,NO ENCONTRADO,NO ENCONTRADO,Centro cultural,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Integra la Red de Espacios Culturales de la Región de Valparaíso (2020).
ESP-0014,Teatro Municipal de Llay Llay,NO ENCONTRADO,llaillay,Llaillay,san-felipe-de-aconcagua,NO ENCONTRADO,NO ENCONTRADO,Teatro,NO ENCONTRADO,municipal,sí,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Integra la Red de Espacios Culturales (2020); programó 'Llay Llay su gente y su cultura' entre octubre de 2020 y marzo de 2021.
ESP-0015,Sala Cultural Raúl Tagle Bennet,NO ENCONTRADO,panquehue,Panquehue,san-felipe-de-aconcagua,NO ENCONTRADO,NO ENCONTRADO,Sala teatral,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Integra la Red de Espacios Culturales (2020); programó circo y música entre octubre de 2020 y marzo de 2021.
ESP-0016,Centro Cultural Leopoldo Silva Reynoard,Centro Cultural Leopoldo Silva | Centro Cultural Municipal Leopoldo Silva,quillota,Quillota,quillota,NO ENCONTRADO,"Avenida 21 de Mayo 200, Quillota",Centro cultural,NO ENCONTRADO,municipal,sí,COMP-0018 | COMP-0104 | COMP-0105 | COMP-0106 | COMP-0109,Teatro Ánima | Teatro AlmaZen | Proyectico Títeres Educativos | Cía. Manga de Fracasados | Taller Municipal de Teatro de Quillota,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089 | FUE-0093 | FUE-0156 | FUE-0155 | FUE-0159 | FUE-0160 | FUE-0176 | FUE-0177 | FUE-0178,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Integra la Red de Espacios Culturales (2020) y es espacio bajo convenio Red Cultura; programó teatro familiar entre octubre de 2020 y marzo de 2021. Organiza el Ciclo de Teatro Familiar (vacaciones de invierno 2019) y programa teatro en el Teatro Rodolfo Bravo ('Artículo 161', 8 de septiembre de 2026). Produce el montaje 'El motín contra Portales' (Red Cultura 2024, Espacios Culturales Bajo Convenio) y alberga el Taller Municipal de Teatro (grupos adolescentes, juvenil-adulto y adulto mayor), la Academia Municipal de Danza y la Orquesta Municipal de Música Popular. Sede de extensión del Festival Síntesis Teatral 2019."
ESP-0017,Teatro Municipal de Santa María,NO ENCONTRADO,santa-maria,Santa María,san-felipe-de-aconcagua,NO ENCONTRADO,NO ENCONTRADO,Teatro,NO ENCONTRADO,municipal,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Listado como 'Teatro Municipal (Santa María)' en la Red de Espacios Culturales (2020).
ESP-0018,Sala de Artes Escénicas Universidad de Playa Ancha,Sala UPLA | Sala de Artes Escénico (Universidad de Playa Ancha) | La Upla,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Espacio universitario,NO ENCONTRADO,universitario,sí,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089 | FUE-0133 | FUE-0176 | FUE-0177 | FUE-0178,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Integra la Red de Espacios Culturales (2020); programó la obra 'Mentira' entre octubre de 2020 y marzo de 2021. Valpocultura la lista como 'la Upla' con 'La Señorita Julia' (27 de agosto al 6 de septiembre de 2026, $3.500). Sede ('Sala Upla') del Festival Síntesis Teatral 2019."
ESP-0019,Sala Negra Universidad de Valparaíso,Sala Negra UV | Sala Negra | Sala Negra Juan Barattini Carvelli | Sala Negra Juan Baratini,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Espacio universitario,NO ENCONTRADO,universitario,sí,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089 | FUE-0133,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Integra la Red de Espacios Culturales (2020). Valpocultura registra la 'Cartelera Sala Negra Juan Baratini_UV – Obras Seleccionadas 2026' del 23 de abril al 5 de diciembre de 2026, gratuita."
ESP-0020,Sala Pascal 79,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Espacio independiente,NO ENCONTRADO,independiente,sí,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089 | FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Integra la Red de Espacios Culturales (2020); beneficiaria PAOCC 2020 ($18.000.000); programó la obra 'Nog Bua' entre octubre de 2020 y marzo de 2021.
ESP-0021,Sala Insomnia Teatro Condell,Insomnia Teatro Condell | Teatro Condell,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Sala teatral,NO ENCONTRADO,independiente,sí,COMP-0100,Abisal,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089 | FUE-0090 | FUE-0144,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Integra la Red de Espacios Culturales (2020); beneficiaria PAOCC 2020 ($17.959.600). Función de 'Terrapolis' el 31 de julio de 2025, 18:00, $3.500."
ESP-0022,Centro Cultural Gabriela Mistral,NO ENCONTRADO,villa-alemana,Villa Alemana,marga-marga,NO ENCONTRADO,"Santiago 674, Villa Alemana",Centro cultural,NO ENCONTRADO,NO ENCONTRADO,sí,COMP-0076 | COMP-0118,Julieta y Compañía | Ankalli Artes Escénicas,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089 | FUE-0093 | FUE-0092 | FUE-0175 | FUE-0171,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Integra la Red de Espacios Culturales (2020) y es espacio bajo convenio Red Cultura; programó 'La mala conexión' entre octubre de 2020 y marzo de 2021; mencionado en la nota de Fondos Cultura 2026. Estreno de 'El Tiempo No Espera' (10 de abril de 2025) y 'Vino por la causa' (Ankalli Artes Escénicas, 15 de mayo de 2022)."
ESP-0023,Centro Cultural Surco,NO ENCONTRADO,vina-del-mar,Viña del Mar,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Centro cultural,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089 | FUE-0088,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Punto de Cultura Comunitaria (listado en Viña del Mar). La nota de la Red de Espacios Culturales (2020) lo ubica en Valparaíso: comuna por confirmar.
ESP-0024,Centro Lector Katipare,NO ENCONTRADO,isla-de-pascua,Isla de Pascua,isla-de-pascua,NO ENCONTRADO,NO ENCONTRADO,Centro cultural,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0093,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Espacio bajo convenio Red Cultura en Rapa Nui; centro lector, programación teatral no confirmada."
ESP-0025,Carpa Azul Circo,Centro Cultural Carpa Azul Circo,valparaiso,Valparaíso,valparaiso,Cerro Barón,NO ENCONTRADO,Espacio independiente,NO ENCONTRADO,independiente,sí,COMP-0042,Teatro Desastre,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090 | FUE-0088 | FUE-0131 | FUE-0132,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Beneficiaria PAOCC 2020 ($17.659.947); Punto de Cultura Comunitaria (circo). Sede de Ciudad Teatro 2025 ('Amada Gayshá', Teatro Desastre)."
ESP-0026,Centro Cultural Placilla,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,Placilla,NO ENCONTRADO,Centro cultural,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Beneficiaria PAOCC 2020 ($12.964.150). La nota lo ubica en 'Placilla' (localidad de la comuna de Valparaíso). Programación teatral no confirmada.
ESP-0027,Cámara Lúcida,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Espacio independiente,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Beneficiaria PAOCC 2020 ($15.439.846). Programación teatral no confirmada.
ESP-0028,Centro Cultural Agrupación de Danza Miguel Pizarro,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Espacio independiente,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Beneficiaria PAOCC 2020 ($17.713.787). Espacio de danza; programación teatral no confirmada.
ESP-0029,CasaPlan,NO ENCONTRADO,vina-del-mar,Viña del Mar,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Espacio independiente,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Beneficiaria PAOCC 2020 ($17.592.638). Programación teatral no confirmada.
ESP-0030,Espacio Cultural Warhola,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Espacio independiente,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Beneficiaria PAOCC 2020 ($16.440.898). Programación teatral no confirmada.
ESP-0031,Dispositivo Cultural,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Espacio independiente,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0090,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Beneficiaria PAOCC 2020 ($7.831.750). Programación teatral no confirmada.
