id,obra,obra_nombre,compania,compania_nombre,fecha,fecha_fin,hora,comuna,comuna_nombre,espacio,espacio_nombre,festival,festival_nombre,tipo_funcion,precio,numero_funciones,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
FUN-0011,OBR-0022,Amada Gayshá,COMP-0042,Teatro Desastre,2025-05-09,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0025,Carpa Azul Circo,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0012,OBR-0023,Fofi el cachorro,COMP-0043,La Bayka,2025-05-10,NO ENCONTRADO,16:00,valparaiso,Valparaíso,ESP-0033,Centro Comunitario Las Cañas,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0013,OBR-0024,Disparate Circo Rock,COMP-0044,Disparate Circo,2025-05-10,NO ENCONTRADO,16:00,valparaiso,Valparaíso,ESP-0055,CECO de Rodelillo,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0014,OBR-0025,Extraño ser,COMP-0045,Teatro del Instinto,2025-05-11,NO ENCONTRADO,17:00,valparaiso,Valparaíso,ESP-0056,Cancha Población Márquez,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0015,OBR-0026,La Señorita Julia,NO ENCONTRADO,NO ENCONTRADO,2026-08-27,2026-09-06,NO ENCONTRADO,valparaiso,Valparaíso,ESP-0018,Sala de Artes Escénicas Universidad de Playa Ancha,NO ENCONTRADO,NO ENCONTRADO,pagada,$3.500,NO ENCONTRADO,NO ENCONTRADO,FUE-0133,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Temporada según Valpocultura; compañía no indicada.
FUN-0016,OBR-0021,Cuestión de Ubicación,COMP-0041,Teatro ILUcIÓN,2026-09-24,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0053,Centro Cultural IPA,NO ENCONTRADO,NO ENCONTRADO,gratuita,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0133,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0017,OBR-0080,Prácticas para un mal dormir,COMP-0091,Colectivx Escénicx Urgente Delirio,2026-05-09,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0064,Valparaíso Profundo,FES-0021,Ciudad Teatro,festival,precios populares (monto no indicado),NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Dos pases el mismo día: 19:00 y 20:00.
FUN-0018,OBR-0080,Prácticas para un mal dormir,COMP-0091,Colectivx Escénicx Urgente Delirio,2026-05-09,NO ENCONTRADO,20:00,valparaiso,Valparaíso,ESP-0064,Valparaíso Profundo,FES-0021,Ciudad Teatro,festival,precios populares (monto no indicado),NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0019,OBR-0081,Tertulias para tomar té: cuando la abuela se perdió y los insectos salieron a buscarla,COMP-0092,MikroEspacio Creativo,2026-05-11,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0065,Mercado Puerto,FES-0021,Ciudad Teatro,festival,precios populares (monto no indicado),NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0020,OBR-0082,Imaginaria,COMP-0054,Organización Comunitaria Artística Cultural y Deportiva La Coraje,2026-05-13,NO ENCONTRADO,12:30,valparaiso,Valparaíso,ESP-0066,Liceo Pedro Montt,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Función en un liceo a mediodía; posiblemente escolar (no indicado).
FUN-0021,OBR-0083,Caleu,COMP-0041,Teatro ILUcIÓN,2026-05-15,NO ENCONTRADO,11:00,valparaiso,Valparaíso,ESP-0067,Espacio Comunitario Santa Ana,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0022,OBR-0084,Esto es un teatro,COMP-0093,Espacio Ané,2026-05-15,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0068,CEAC,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0023,OBR-0084,Esto es un teatro,COMP-0093,Espacio Ané,2026-05-16,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0068,CEAC,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0024,OBR-0085,Vuela,COMP-0073,Teatro La Washa,2026-05-17,NO ENCONTRADO,16:00,valparaiso,Valparaíso,ESP-0033,Centro Comunitario Las Cañas,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0025,OBR-0086,Inextinguible,COMP-0094,Colaboraciones en Distancia,2026-05-20,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0053,Centro Cultural IPA,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0026,OBR-0088,Casa,COMP-0042,Teatro Desastre,2026-05-21,NO ENCONTRADO,17:30,valparaiso,Valparaíso,ESP-0070,Casa Centro de Investigación Teatro La Peste,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,Lectura dramatizada.,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0027,OBR-0087,Intoxicadas,COMP-0095,Compañía En Paños Menores,2026-05-23,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0069,Sala de Artes Escénicas Rodelillo,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0028,OBR-0087,Intoxicadas,COMP-0095,Compañía En Paños Menores,2026-05-24,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0069,Sala de Artes Escénicas Rodelillo,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0136,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0029,OBR-0089,"Koreto, la magia continúa",NO ENCONTRADO,NO ENCONTRADO,2026-09-01,NO ENCONTRADO,19:00,vina-del-mar,Viña del Mar,ESP-0059,Teatro Municipal de Viña del Mar,NO ENCONTRADO,NO ENCONTRADO,pública,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0137,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Artes circenses según el sitio del teatro; compañía no indicada. La mayoría de las funciones del mes son gratuitas con inscripción.
FUN-0030,OBR-0090,Voces,NO ENCONTRADO,NO ENCONTRADO,2026-09-12,NO ENCONTRADO,19:00,vina-del-mar,Viña del Mar,ESP-0059,Teatro Municipal de Viña del Mar,NO ENCONTRADO,NO ENCONTRADO,pública,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0137,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Danza contemporánea del Ballet Nacional Chileno (BANCH), compañía de otra región; no se crea registro de compañía."
FUN-0031,OBR-0060,Terrapolis,COMP-0100,Abisal,2025-07-31,NO ENCONTRADO,18:00,valparaiso,Valparaíso,ESP-0021,Sala Insomnia Teatro Condell,NO ENCONTRADO,NO ENCONTRADO,pagada,$3.500,NO ENCONTRADO,NO ENCONTRADO,FUE-0144,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0032,OBR-0060,Terrapolis,COMP-0100,Abisal,2025-08-02,NO ENCONTRADO,18:00,quintero,Quintero,ESP-0076,Casino de funcionarios de la Biblioteca Municipal de Quintero,NO ENCONTRADO,NO ENCONTRADO,gratuita,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0144,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0033,OBR-0060,Terrapolis,COMP-0100,Abisal,2025-08-06,NO ENCONTRADO,NO ENCONTRADO,san-antonio,San Antonio,ESP-0002,Centro Cultural San Antonio,NO ENCONTRADO,NO ENCONTRADO,gratuita,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0144,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0034,OBR-0060,Terrapolis,COMP-0100,Abisal,2025-08-12,NO ENCONTRADO,NO ENCONTRADO,el-quisco,El Quisco,ESP-0012,Centro Cultural Camilo Mori,NO ENCONTRADO,NO ENCONTRADO,gratuita,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0144,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0035,OBR-0092,La Plaza,COMP-0087,Compañía Moviendo Hilos,2021-03-12,NO ENCONTRADO,15:00,putaendo,Putaendo,ESP-0075,Escuela María Leiva de Las Coimas,NO ENCONTRADO,NO ENCONTRADO,itinerancia,gratuito,NO ENCONTRADO,Programa Artes Escénicas Itinerantes Regionales; organiza Escenalborde.,FUE-0146,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0036,NO ENCONTRADO,NO ENCONTRADO,COMP-0097,Compañía de Teatro Experimental La Sutil,2026-09-05,NO ENCONTRADO,17:00,la-calera,La Calera,ESP-0071,Centro Cultural de La Calera,FES-0038,Trenzando Puntos de Fuga,gratuita,entrada liberada,NO ENCONTRADO,Presentación teatral de La Sutil (Papudo) junto a la Orquesta Municipal de La Calera y el grupo folclórico Voces al Viento (Cabildo). Obra no indicada.,FUE-0140,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0037,OBR-0093,El Viaje de los Caracoles,COMP-0018,Teatro Ánima,2019-07-18,2019-07-20,NO ENCONTRADO,quillota,Quillota,ESP-0016,Centro Cultural Leopoldo Silva Reynoard,FES-0041,Ciclo de Teatro Familiar de Quillota,pagada,$2.000,NO ENCONTRADO,NO ENCONTRADO,FUE-0156,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Día exacto dentro del ciclo no indicado (funciones 18/7 18:00, 19/7 18:00, 20/7 12:00 y 19:00)."
FUN-0038,OBR-0094,El Principito,COMP-0104,Teatro AlmaZen,2019-07-18,2019-07-20,NO ENCONTRADO,quillota,Quillota,ESP-0016,Centro Cultural Leopoldo Silva Reynoard,FES-0041,Ciclo de Teatro Familiar de Quillota,pagada,$2.000,NO ENCONTRADO,NO ENCONTRADO,FUE-0156,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Día exacto dentro del ciclo no indicado.
FUN-0039,OBR-0095,Tico y la Piedra Mágica,COMP-0105,Proyectico Títeres Educativos,2019-07-18,2019-07-20,NO ENCONTRADO,quillota,Quillota,ESP-0016,Centro Cultural Leopoldo Silva Reynoard,FES-0041,Ciclo de Teatro Familiar de Quillota,pagada,$2.000,NO ENCONTRADO,NO ENCONTRADO,FUE-0156,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Día exacto dentro del ciclo no indicado.
FUN-0040,OBR-0096,Día de Mierclown,COMP-0106,Cía. Manga de Fracasados,2019-07-18,2019-07-20,NO ENCONTRADO,quillota,Quillota,ESP-0016,Centro Cultural Leopoldo Silva Reynoard,FES-0041,Ciclo de Teatro Familiar de Quillota,pagada,$2.000,NO ENCONTRADO,NO ENCONTRADO,FUE-0156,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Día exacto dentro del ciclo no indicado.
FUN-0041,OBR-0099,Artículo 161,NO ENCONTRADO,NO ENCONTRADO,2026-09-08,NO ENCONTRADO,19:00,quillota,Quillota,ESP-0006,Teatro Rodolfo Bravo del Centro Cultural Municipal Leopoldo Silva Reynoard,NO ENCONTRADO,NO ENCONTRADO,gratuita,entrada liberada,NO ENCONTRADO,"Montaje interactivo: 'Vera, una mujer de Peumo que vive en Santiago, atraviesa una dinámica familiar que no la hace feliz'. Compañía no indicada.",FUE-0155,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0042,OBR-0098,Alas de fuego,COMP-0108,Teatro Profesional Onirus,2016-01-24,NO ENCONTRADO,NO ENCONTRADO,rinconada,Rinconada,NO ENCONTRADO,NO ENCONTRADO,FES-0042,Teatro a Mil en la Región de Valparaíso,gratuita,NO ENCONTRADO,NO ENCONTRADO,Pasacalle en Rinconada; lugar exacto no indicado.,FUE-0158,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0043,OBR-0101,El motín contra Portales,NO ENCONTRADO,NO ENCONTRADO,2025-07-12,NO ENCONTRADO,NO ENCONTRADO,quillota,Quillota,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,pública,NO ENCONTRADO,NO ENCONTRADO,Estreno (lugar exacto no indicado; producción municipal).,FUE-0159,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0044,OBR-0101,El motín contra Portales,NO ENCONTRADO,NO ENCONTRADO,2025-07-14,NO ENCONTRADO,NO ENCONTRADO,quillota,Quillota,ESP-0079,Colegio Canadá de Quillota,NO ENCONTRADO,NO ENCONTRADO,escolar,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0159,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0045,OBR-0103,El Invitado,NO ENCONTRADO,NO ENCONTRADO,2022-03-30,NO ENCONTRADO,20:00,los-andes,Los Andes,ESP-0001,Centro Cultural de Los Andes,NO ENCONTRADO,NO ENCONTRADO,gratuita,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0161,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0046,OBR-0104,Planeta Alegría,NO ENCONTRADO,NO ENCONTRADO,2026-06-26,NO ENCONTRADO,17:30,san-felipe,San Felipe,ESP-0062,Teatro Municipal de San Felipe,NO ENCONTRADO,NO ENCONTRADO,gratuita,NO ENCONTRADO,NO ENCONTRADO,Zeta Producciones; vacaciones de invierno 2026.,FUE-0163,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0047,OBR-0105,Aladino,NO ENCONTRADO,NO ENCONTRADO,2018-08-25,NO ENCONTRADO,12:00,san-felipe,San Felipe,ESP-0062,Teatro Municipal de San Felipe,NO ENCONTRADO,NO ENCONTRADO,pública,NO ENCONTRADO,NO ENCONTRADO,"Morro Producciones (Santiago), aniversario 278 de San Felipe; compañía de otra región, sin registro propio.",FUE-0164,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0048,OBR-0106,El Húsar de la Muerte,NO ENCONTRADO,NO ENCONTRADO,2025-09-30,NO ENCONTRADO,NO ENCONTRADO,vina-del-mar,Viña del Mar,ESP-0059,Teatro Municipal de Viña del Mar,NO ENCONTRADO,NO ENCONTRADO,pública,NO ENCONTRADO,NO ENCONTRADO,"Compañía La Patogallina (Santiago), sin registro propio; fecha según la salida pedagógica del Taller Municipal de Teatro de Quillota.",FUE-0160,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0049,OBR-0113,La Tendalá,COMP-0039,Cooperativa de Artes Escénicas de Valparaíso,2026-04-19,NO ENCONTRADO,18:00,san-antonio,San Antonio,ESP-0002,Centro Cultural San Antonio,FES-0002,Festival Litoral Teatral,gratuita,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0063,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0050,OBR-0110,Monumentos,COMP-0050,Colectivo interdisciplinario Musgo,2026-04-25,NO ENCONTRADO,19:00,san-antonio,San Antonio,ESP-0002,Centro Cultural San Antonio,FES-0002,Festival Litoral Teatral,gratuita,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0063,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0051,NO ENCONTRADO,NO ENCONTRADO,COMP-0113,Saltimbanqui Circus,2026-04-26,NO ENCONTRADO,17:00,san-antonio,San Antonio,ESP-0081,Junta de Vecinos San Juan de Llolleo,FES-0002,Festival Litoral Teatral,gratuita,NO ENCONTRADO,NO ENCONTRADO,Función de circo (obra no indicada); segundo pase a las 19:00.,FUE-0063,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,hora: '17:00' vs '19:00'; descripcion: 'Función de circo (obra no indicada); segundo pase a las 19:00.' vs 'Función de circo (obra no indicada).',NO ENCONTRADO
FUN-0052,OBR-0116,La Reina Isabel cantaba rancheras,NO ENCONTRADO,NO ENCONTRADO,2026-04-12,NO ENCONTRADO,NO ENCONTRADO,san-antonio,San Antonio,ESP-0002,Centro Cultural San Antonio,FES-0002,Festival Litoral Teatral,gratuita,NO ENCONTRADO,NO ENCONTRADO,"Apertura del festival (Teatro Imagen, dir. Gustavo Meza).",FUE-0063,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0053,OBR-0117,Fábulas fabulosas,NO ENCONTRADO,NO ENCONTRADO,2022-10-22,NO ENCONTRADO,12:00,san-felipe,San Felipe,ESP-0062,Teatro Municipal de San Felipe,FES-0045,Ciclo Teatro Infantil del Teatro Municipal de San Felipe,gratuita,NO ENCONTRADO,NO ENCONTRADO,Cuentacuentos con música en vivo; artista no indicado.,FUE-0170,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0054,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2025-01-17,NO ENCONTRADO,20:00,casablanca,Casablanca,ESP-0061,Teatro Municipal de Casablanca,FES-0042,Teatro a Mil en la Región de Valparaíso,gratuita,NO ENCONTRADO,NO ENCONTRADO,"'El brote', Compañía Criolla (Argentina), dir. Emiliano Dionisi, 90 min, +13; compañía extranjera sin registro propio.",FUE-0168,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0055,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2025-01-20,NO ENCONTRADO,19:30,casablanca,Casablanca,ESP-0082,Centro Cultural de Casablanca,FES-0042,Teatro a Mil en la Región de Valparaíso,gratuita,NO ENCONTRADO,NO ENCONTRADO,"'Amal en Casablanca', The Walk Productions y Handspring Puppet Company (marioneta de 3,5 m), dir. artístico Amir Nizar Zuabi; compañías extranjeras sin registro propio.",FUE-0168,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0056,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2025-01-21,NO ENCONTRADO,20:00,casablanca,Casablanca,ESP-0061,Teatro Municipal de Casablanca,FES-0042,Teatro a Mil en la Región de Valparaíso,gratuita,NO ENCONTRADO,NO ENCONTRADO,"'La historia del Ramayana' (India), dir. M.N. Harikumar, 70 min, todo público; compañía extranjera sin registro propio.",FUE-0168,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0057,OBR-0034,El tiempo no espera. Monólogos del adulto mayor,COMP-0076,Julieta y Compañía,2025-04-10,NO ENCONTRADO,19:00,villa-alemana,Villa Alemana,ESP-0022,Centro Cultural Gabriela Mistral,NO ENCONTRADO,NO ENCONTRADO,gratuita,NO ENCONTRADO,NO ENCONTRADO,Estreno.,FUE-0171,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
